timestamps,values
2018/12/08 22:30:00,1
2018/12/08 22:33:00,1
2018/12/08 22:36:00,1
2018/12/08 22:39:00,1
2018/12/08 22:42:00,1
2018/12/08 22:45:00,1
2018/12/08 22:48:00,1
2018/12/08 22:51:00,1
2018/12/08 22:54:00,1
2018/12/08 22:57:00,1
2018/12/08 23:00:00,1
2018/12/08 23:03:00,1
2018/12/08 23:06:00,1
2018/12/08 23:09:00,1
2018/12/08 23:12:00,1
2018/12/08 23:15:00,1
2018/12/08 23:18:00,1
2018/12/08 23:21:00,1
2018/12/08 23:24:00,1
2018/12/08 23:27:00,1
2018/12/08 23:30:00,1
2018/12/08 23:33:00,1
2018/12/08 23:36:00,1
2018/12/08 23:39:00,1
2018/12/08 23:42:00,1
2018/12/08 23:45:00,1
2018/12/08 23:48:00,1
2018/12/08 23:51:00,1
2018/12/08 23:54:00,1
2018/12/08 23:57:00,1
2018/12/09 00:00:00,1
2018/12/09 00:03:00,1
2018/12/09 00:06:00,1
2018/12/09 00:09:00,1
2018/12/09 00:12:00,1
2018/12/09 00:15:00,1
2018/12/09 00:18:00,1
2018/12/09 00:21:00,1
2018/12/09 00:24:00,1
2018/12/09 00:27:00,1
2018/12/09 00:30:00,1
2018/12/09 00:33:00,1
2018/12/09 00:36:00,1
2018/12/09 00:39:00,1
2018/12/09 00:42:00,1
2018/12/09 00:45:00,1
2018/12/09 00:48:00,1
2018/12/09 00:51:00,1
2018/12/09 00:54:00,1
2018/12/09 00:57:00,1
2018/12/09 01:00:00,1
2018/12/09 01:03:00,1
2018/12/09 01:06:00,1
2018/12/09 01:09:00,1
2018/12/09 01:12:00,1
2018/12/09 01:15:00,1
2018/12/09 01:18:00,1
2018/12/09 01:21:00,1
2018/12/09 01:24:00,1
2018/12/09 01:27:00,1
2018/12/09 01:30:00,1
2018/12/09 01:33:00,1
2018/12/09 01:36:00,1
2018/12/09 01:39:00,1
2018/12/09 01:42:00,1
2018/12/09 01:45:00,1
2018/12/09 01:48:00,2
2018/12/09 01:51:00,3
2018/12/09 01:54:00,4
2018/12/09 01:57:00,5
2018/12/09 02:00:00,4
2018/12/09 02:03:00,3
2018/12/09 02:06:00,2
2018/12/09 02:09:00,1
2018/12/09 02:12:00,1
2018/12/09 02:15:00,1
2018/12/09 02:18:00,1
2018/12/09 02:21:00,1
2018/12/09 02:24:00,1
2018/12/09 02:27:00,1
2018/12/09 02:30:00,1
2018/12/09 02:33:00,1
2018/12/09 02:36:00,1
2018/12/09 02:39:00,1
2018/12/09 02:42:00,1
2018/12/09 02:45:00,1
2018/12/09 02:48:00,1
2018/12/09 02:51:00,1
2018/12/09 02:54:00,1
2018/12/09 02:57:00,1
2018/12/09 03:00:00,1
2018/12/09 03:03:00,1
2018/12/09 03:06:00,1
2018/12/09 03:09:00,1
2018/12/09 03:12:00,1
2018/12/09 03:15:00,1
2018/12/09 03:18:00,1
2018/12/09 03:21:00,1
2018/12/09 03:24:00,1
2018/12/09 03:27:00,1
2018/12/09 03:30:00,1
2018/12/09 03:33:00,1
2018/12/09 03:36:00,1
2018/12/09 03:39:00,1
2018/12/09 03:42:00,1
2018/12/09 03:45:00,1
2018/12/09 03:48:00,1
2018/12/09 03:51:00,1
2018/12/09 03:54:00,1
2018/12/09 03:57:00,1
2018/12/09 04:00:00,1
2018/12/09 04:03:00,1
2018/12/09 04:06:00,1
2018/12/09 04:09:00,1
2018/12/09 04:12:00,1
2018/12/09 04:15:00,1
2018/12/09 04:18:00,1
2018/12/09 04:21:00,1
2018/12/09 04:24:00,1
2018/12/09 04:27:00,1
2018/12/09 04:30:00,1
2018/12/09 04:33:00,1
2018/12/09 04:36:00,1
2018/12/09 04:39:00,1
2018/12/09 04:42:00,1
2018/12/09 04:45:00,1
2018/12/09 04:48:00,1
2018/12/09 04:51:00,1
2018/12/09 04:54:00,1
2018/12/09 04:57:00,1
2018/12/09 05:00:00,1
2018/12/09 05:03:00,1
2018/12/09 05:06:00,1
2018/12/09 05:09:00,1
2018/12/09 05:12:00,1
2018/12/09 05:15:00,1
2018/12/09 05:18:00,1
2018/12/09 05:21:00,1
2018/12/09 05:24:00,1
2018/12/09 05:27:00,1
2018/12/09 05:30:00,1
2018/12/09 05:33:00,1
2018/12/09 05:36:00,1
2018/12/09 05:39:00,1
2018/12/09 05:42:00,1
2018/12/09 05:45:00,1
2018/12/09 05:48:00,1
2018/12/09 05:51:00,1
2018/12/09 05:54:00,1
2018/12/09 05:57:00,1
2018/12/09 06:00:00,1
2018/12/09 06:03:00,1
2018/12/09 06:06:00,1
2018/12/09 06:09:00,1
2018/12/09 06:12:00,1
2018/12/09 06:15:00,1
2018/12/09 06:18:00,1
2018/12/09 06:21:00,1
2018/12/09 06:24:00,1
2018/12/09 06:27:00,1
2018/12/09 06:30:00,1
2018/12/09 06:33:00,1
2018/12/09 06:36:00,1
2018/12/09 06:39:00,1
2018/12/09 06:42:00,1
2018/12/09 06:45:00,1
2018/12/09 06:48:00,1
2018/12/09 06:51:00,1
2018/12/09 06:54:00,1
2018/12/09 06:57:00,1
2018/12/09 07:00:00,1
2018/12/09 07:03:00,1
2018/12/09 07:06:00,1
2018/12/09 07:09:00,1
2018/12/09 07:12:00,1
2018/12/09 07:15:00,1
2018/12/09 07:18:00,1
2018/12/09 07:21:00,1
2018/12/09 07:24:00,1
2018/12/09 07:27:00,1
2018/12/09 07:30:00,1
2018/12/09 07:33:00,1
2018/12/09 07:36:00,1
2018/12/09 07:39:00,1
2018/12/09 07:42:00,1
2018/12/09 07:45:00,1
2018/12/09 07:48:00,1
2018/12/09 07:51:00,1
2018/12/09 07:54:00,1
2018/12/09 07:57:00,1
2018/12/09 08:00:00,1
2018/12/09 08:03:00,1
2018/12/09 08:06:00,1
2018/12/09 08:09:00,1
2018/12/09 08:12:00,1
2018/12/09 08:15:00,1
2018/12/09 08:18:00,1
2018/12/09 08:21:00,1
2018/12/09 08:24:00,1
2018/12/09 08:27:00,1
2018/12/09 08:30:00,1
2018/12/09 08:33:00,1
2018/12/09 08:36:00,1
2018/12/09 08:39:00,1
2018/12/09 08:42:00,1
2018/12/09 08:45:00,1
2018/12/09 08:48:00,1
2018/12/09 08:51:00,1
2018/12/09 08:54:00,1
2018/12/09 08:57:00,1
2018/12/09 09:00:00,1
2018/12/09 09:03:00,1
2018/12/09 09:06:00,1
2018/12/09 09:09:00,1
2018/12/09 09:12:00,1
2018/12/09 09:15:00,1
2018/12/09 09:18:00,1
2018/12/09 09:21:00,1
2018/12/09 09:24:00,1
2018/12/09 09:27:00,1
2018/12/09 09:30:00,1
2018/12/09 09:33:00,1
2018/12/09 09:36:00,1
2018/12/09 09:39:00,1
2018/12/09 09:42:00,1
2018/12/09 09:45:00,1
2018/12/09 09:48:00,1
2018/12/09 09:51:00,1
2018/12/09 09:54:00,1
2018/12/09 09:57:00,1
2018/12/09 10:00:00,1
2018/12/09 10:03:00,1
2018/12/09 10:06:00,1
2018/12/09 10:09:00,1
2018/12/09 10:12:00,1
2018/12/09 10:15:00,1
2018/12/09 10:18:00,1
2018/12/09 10:21:00,1
2018/12/09 10:24:00,1
2018/12/09 10:27:00,1
2018/12/09 10:30:00,1
2018/12/09 10:33:00,1
2018/12/09 10:36:00,1
2018/12/09 10:39:00,1
2018/12/09 10:42:00,1
2018/12/09 10:45:00,1
2018/12/09 10:48:00,1
2018/12/09 10:51:00,1
2018/12/09 10:54:00,1
2018/12/09 10:57:00,1
2018/12/09 11:00:00,1
2018/12/09 11:03:00,1
2018/12/09 11:06:00,1
2018/12/09 11:09:00,1
2018/12/09 11:12:00,1
2018/12/09 11:15:00,1
2018/12/09 11:18:00,1
2018/12/09 11:21:00,1
2018/12/09 11:24:00,1
2018/12/09 11:27:00,1
2018/12/09 11:30:00,1
2018/12/09 11:33:00,1
2018/12/09 11:36:00,1
2018/12/09 11:39:00,1
2018/12/09 11:42:00,1
2018/12/09 11:45:00,1
2018/12/09 11:48:00,1
2018/12/09 11:51:00,1
2018/12/09 11:54:00,1
2018/12/09 11:57:00,1
2018/12/09 12:00:00,1
2018/12/09 12:03:00,1
2018/12/09 12:06:00,1
2018/12/09 12:09:00,1
2018/12/09 12:12:00,1
2018/12/09 12:15:00,1
2018/12/09 12:18:00,1
2018/12/09 12:21:00,1
2018/12/09 12:24:00,1
2018/12/09 12:27:00,1
2018/12/09 12:30:00,1
2018/12/09 12:33:00,1
2018/12/09 12:36:00,1
2018/12/09 12:39:00,1
2018/12/09 12:42:00,1
2018/12/09 12:45:00,1
2018/12/09 12:48:00,1
2018/12/09 12:51:00,1
2018/12/09 12:54:00,1
2018/12/09 12:57:00,1
2018/12/09 13:00:00,1
2018/12/09 13:03:00,1
2018/12/09 13:06:00,1
2018/12/09 13:09:00,1
2018/12/09 13:12:00,1
2018/12/09 13:15:00,1
2018/12/09 13:18:00,1
2018/12/09 13:21:00,1
2018/12/09 13:24:00,1
2018/12/09 13:27:00,1
2018/12/09 13:30:00,1
2018/12/09 13:33:00,1
2018/12/09 13:36:00,1
2018/12/09 13:39:00,1
2018/12/09 13:42:00,1
2018/12/09 13:45:00,1
2018/12/09 13:48:00,1
2018/12/09 13:51:00,1
2018/12/09 13:54:00,1
2018/12/09 13:57:00,1
2018/12/09 14:00:00,1
2018/12/09 14:03:00,1
2018/12/09 14:06:00,1
2018/12/09 14:09:00,1
2018/12/09 14:12:00,1
2018/12/09 14:15:00,1
2018/12/09 14:18:00,1
2018/12/09 14:21:00,1
2018/12/09 14:24:00,1
2018/12/09 14:27:00,1
2018/12/09 14:30:00,1
2018/12/09 14:33:00,1
2018/12/09 14:36:00,1
2018/12/09 14:39:00,1
2018/12/09 14:42:00,1
2018/12/09 14:45:00,1
2018/12/09 14:48:00,1
2018/12/09 14:51:00,1
2018/12/09 14:54:00,1
2018/12/09 14:57:00,1
2018/12/09 15:00:00,1
2018/12/09 15:03:00,1
2018/12/09 15:06:00,1
2018/12/09 15:09:00,1
2018/12/09 15:12:00,1
2018/12/09 15:15:00,1
2018/12/09 15:18:00,1
2018/12/09 15:21:00,1
2018/12/09 15:24:00,1
2018/12/09 15:27:00,1
2018/12/09 15:30:00,1
2018/12/09 15:33:00,1
2018/12/09 15:36:00,1
2018/12/09 15:39:00,1
2018/12/09 15:42:00,1
2018/12/09 15:45:00,1
2018/12/09 15:48:00,1
2018/12/09 15:51:00,1
2018/12/09 15:54:00,1
2018/12/09 15:57:00,1
2018/12/09 16:00:00,1
2018/12/09 16:03:00,1
2018/12/09 16:06:00,1
2018/12/09 16:09:00,1
2018/12/09 16:12:00,1
2018/12/09 16:15:00,1
2018/12/09 16:18:00,1
2018/12/09 16:21:00,1
2018/12/09 16:24:00,1
2018/12/09 16:27:00,1
2018/12/09 16:30:00,1
2018/12/09 16:33:00,1
2018/12/09 16:36:00,1
2018/12/09 16:39:00,1
2018/12/09 16:42:00,1
2018/12/09 16:45:00,1
2018/12/09 16:48:00,1
2018/12/09 16:51:00,1
2018/12/09 16:54:00,1
2018/12/09 16:57:00,1
2018/12/09 17:00:00,1
2018/12/09 17:03:00,1
2018/12/09 17:06:00,1
2018/12/09 17:09:00,1
2018/12/09 17:12:00,1
2018/12/09 17:15:00,1
2018/12/09 17:18:00,1
2018/12/09 17:21:00,1
2018/12/09 17:24:00,1
2018/12/09 17:27:00,1
2018/12/09 17:30:00,1
2018/12/09 17:33:00,1
2018/12/09 17:36:00,1
2018/12/09 17:39:00,1
2018/12/09 17:42:00,1
2018/12/09 17:45:00,1
2018/12/09 17:48:00,1
2018/12/09 17:51:00,1
2018/12/09 17:54:00,1
2018/12/09 17:57:00,1
2018/12/09 18:00:00,1
2018/12/09 18:03:00,1
2018/12/09 18:06:00,1
2018/12/09 18:09:00,1
2018/12/09 18:12:00,1
2018/12/09 18:15:00,1
2018/12/09 18:18:00,1
2018/12/09 18:21:00,1
2018/12/09 18:24:00,1
2018/12/09 18:27:00,1
2018/12/09 18:30:00,1
2018/12/09 18:33:00,1
2018/12/09 18:36:00,1
2018/12/09 18:39:00,1
2018/12/09 18:42:00,1
2018/12/09 18:45:00,1
2018/12/09 18:48:00,1
2018/12/09 18:51:00,1
2018/12/09 18:54:00,1
2018/12/09 18:57:00,1
2018/12/09 19:00:00,1
2018/12/09 19:03:00,1
2018/12/09 19:06:00,1
2018/12/09 19:09:00,1
2018/12/09 19:12:00,1
2018/12/09 19:15:00,1
2018/12/09 19:18:00,1
2018/12/09 19:21:00,1
2018/12/09 19:24:00,1
2018/12/09 19:27:00,1
2018/12/09 19:30:00,1
2018/12/09 19:33:00,1
2018/12/09 19:36:00,1
2018/12/09 19:39:00,1
2018/12/09 19:42:00,1
2018/12/09 19:45:00,1
2018/12/09 19:48:00,1
2018/12/09 19:51:00,1
